location,outbreak_number,start_weekday,duration,threshold,total_suspected_cases,attack_rate,total_deaths,cfr,temporal_scale,country,population,area,mean_R0,population_density,rural_urban,pop_cat,who_region,start_date,end_date,total_confirmed_cases,spatial_scale,location_period_id,time_to_peak..weeks.,latitude,longitude
afr::cod::kongocentral::kitonahealthdistrict,1,Monday,31,2.558701692,96,6.96590791,4.0,4.166666667,weekly,COD,13781.4,148.3766923,1.9,92.88116473,Rural settings,"Population <100,000",AFR,3/26/2012,10/28/2012,,admin2,14481,18.0,-5.922849,12.48113
afr::cod::kongocentral::moandahealthdistrict,5,Monday,43,3.962882967,941,14.62210192,4.0,0.425079702,weekly,COD,64354.6,1221.46786,1.55,52.6862819,Rural settings,"Population <100,000",AFR,1/23/2012,11/18/2012,,admin2,14489,3.0,-5.672869,12.63225
afr::cod::lomami,1,Monday,9,0.7035864,573,0.150132053,,,weekly,COD,3816640.0,54123.66022,1.39,70.51703422,Rural settings,"Population >1,000,000",AFR,10/15/2018,12/16/2018,,admin1,14507,3.0,-7.983483,23.50257
afr::cod::lualaba::dilalahealthdistrict,1,Monday,3,0.072539359,11,0.079331989,0.0,0.0,weekly,COD,138657.8,3635.266045,2.0,38.14240781,Rural settings,"Population <1,000,000",AFR,12/9/2019,12/29/2019,,admin2,14517,3.0,-10.85899,25.33436
afr::cod::lualaba::fungurumehealthdistrict,1,Monday,13,0.599481131,172,0.518897426,5.0,2.906976744,weekly,COD,331472.1,3543.701339,2.18,93.53838495,Rural settings,"Population <1,000,000",AFR,10/30/2017,1/28/2018,,admin2,14518,5.0,-10.47324,26.54912
afr::cod::lualaba::kanzenzehealthdistrict,1,Monday,6,7.586435822,42,0.601160858,0.0,0.0,weekly,COD,69864.8,3716.718394,1.86,18.79744242,Rural settings,"Population <100,000",AFR,12/24/2018,2/3/2019,,admin2,14967,3.0,-9.507495,25.51667
afr::cod::lualaba::manikahealthdistrict,1,Monday,8,2.092071785,109,0.929816204,9.0,8.256880734,weekly,COD,117227.5,7267.15842,2.03,16.13113314,Rural settings,"Population <1,000,000",AFR,2/4/2019,3/31/2019,,admin2,14969,5.0,-10.88168,26.20474
afr::cod::lualaba::manikahealthdistrict,2,Monday,5,2.092071785,120,1.023650867,7.0,5.833333333,weekly,COD,117227.5,7267.15842,2.33,16.13113314,Rural settings,"Population <1,000,000",AFR,11/25/2019,12/29/2019,,admin2,14969,4.0,-10.88168,26.20474
afr::cod::maindombe::niokihealthdistrict,1,Monday,3,0.513398406,12,0.160961055,0.0,0.0,weekly,COD,74552.2,6430.034082,1.84,11.59437089,Rural settings,"Population <100,000",AFR,9/4/2017,9/24/2017,,admin2,14537,3.0,-2.532739,18.04672
afr::cod::maniema::kailohealthdistrict,1,Monday,4,1.020194382,31,0.230117457,3.0,9.677419355,weekly,COD,134713.8,22776.84676,1.83,5.914506139,Rural settings,"Population <1,000,000",AFR,10/19/2015,11/15/2015,,admin2,14548,3.0,-1.840116,25.91034
afr::cod::maniema::kailohealthdistrict,5,Monday,5,1.020194382,45,0.283211823,3.0,6.666666667,weekly,COD,158891.7,22776.84676,1.67,6.976018308,Rural settings,"Population <1,000,000",AFR,9/30/2019,11/3/2019,,admin2,14548,4.0,-1.840116,25.91034
afr::cod::maniema::lubutuhealthdistrict,1,Monday,8,0.564044482,106,0.948591819,1.0,0.943396226,weekly,COD,111744.6,10558.08445,2.72,10.58379487,Rural settings,"Population <1,000,000",AFR,8/29/2011,10/23/2011,,admin2,14554,3.0,-0.03499999,26.06706
afr::cod::mongala::bumbahealthdistrict,1,Monday,7,5.081770285,162,1.620421436,2.0,1.234567901,weekly,COD,99974.0,1428.453505,1.56,69.98757723,Rural settings,"Population <100,000",AFR,4/18/2016,6/5/2016,,admin2,14233,3.0,2.401458,22.91655
afr::cod::nordkivu,3,Monday,34,1.777356257,15871,1.932710594,,,weekly,COD,8211783.0,58699.33483,1.74,139.8956738,Rural settings,"Population >1,000,000",AFR,6/26/2017,2/18/2018,,admin1,7255,13.0,0.4073501,29.95951
afr::cod::nordkivu,4,Monday,5,1.777356257,1242,0.138502533,,,weekly,COD,8967345.0,58699.33483,1.8,152.767404,Rural settings,"Population >1,000,000",AFR,12/23/2019,1/26/2020,,admin1,7255,3.0,0.4073501,29.95951
afr::cod::nordkivu::kibuahealthdistrict,2,Monday,29,6.068042554,1260,14.2126669,35.0,2.777777778,weekly,COD,88653.3,2798.800559,2.37,31.67546173,Rural settings,"Population <100,000",AFR,11/13/2017,6/3/2018,,admin2,14586,3.0,-0.9462879,28.65481
afr::cod::nordkivu::kirotshehealthdistrict,1,Monday,18,3.36056298,576,1.268234134,3.0,0.520833333,weekly,COD,454174.8,1050.024142,2.27,432.5374835,Rural settings,"Population <1,000,000",AFR,10/18/2010,2/20/2011,,admin2,14587,6.0,-1.332278,29.07111
afr::cod::nordkivu::kirotshehealthdistrict,3,Monday,30,3.36056298,598,1.203106449,11.0,1.839464883,weekly,COD,497046.6,1050.024142,1.31,473.3668305,Rural settings,"Population <1,000,000",AFR,8/29/2011,3/25/2012,,admin2,14587,3.0,-1.332278,29.07111
afr::cod::nordkivu::kirotshehealthdistrict,4,Monday,25,3.36056298,880,1.648010285,9.0,1.022727273,weekly,COD,533977.3,1050.024142,1.78,508.538117,Rural settings,"Population <1,000,000",AFR,11/26/2012,5/19/2013,,admin2,14587,7.0,-1.332278,29.07111
